Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FD714N,8.35,regular,0.39,Seafood,41.14,OUT46U,2006,Medium,Tier 1,Supermarket Type1,984.23
FD129S,20.7,regular,0.27,Baking Goods,105.1,OUT43P,2004,Medium,Tier 1,Supermarket Type1,869.28
FD762D,10.22,low,0.1,Breakfast,100.76,OUT20A,2000,High,Tier 3,Supermarket Type2,2490.89
FD830Y,7.1,regular,0.03,Dairy,43.21,OUT64V,2004,High,Tier 1,Supermarket Type3,2416.43
FD153V,13.45,low,0.13,Soft Drinks,215.77,OUT40E,1996,High,Tier 1,Grocery Store,998.34
FD490T,5.37,low,0.24,Snack Foods,149.73,OUT60Q,1996,High,Tier 3,Supermarket Type2,1916.81
FD615F,21.39,low,0.12,Dairy,146.29,OUT53D,1989,Medium,Tier 1,Supermarket Type1,1468.86
FD219U,14.37,NA,0.32,Household,219.65,OUT15I,2000,Small,Tier 2,Supermarket Type3,1979.47
FD727W,12.16,regular,0.29,Soft Drinks,125.7,OUT43H,1995,Medium,Tier 2,Supermarket Type3,1898.14
FD882J,,low,0.24,Starchy Foods,254.59,OUT81Q,2005,High,Tier 2,Supermarket Type2,2899.36
FD335L,12.9,low,0.14,Breakfast,264.65,OUT14E,1993,Small,Tier 1,Supermarket Type1,1131.22
FD141C,16.01,regular,0.27,Canned,54.97,OUT55T,2002,Small,Tier 2,Supermarket Type3,1568.82
FD987J,16.49,regular,0.3,Seafood,229.05,OUT25W,1987,Small,Tier 3,Supermarket Type3,2097.02
FD620R,6.57,regular,0.32,Baking Goods,209.84,OUT82Q,2003,Small,Tier 3,Supermarket Type1,713.39
FD352X,6.5,low,0.34,Baking Goods,224.94,OUT73R,1988,Medium,Tier 1,Supermarket Type1,1142.11
FD224Z,,low,0.11,Breads,193.64,OUT57L,1988,High,Tier 3,Supermarket Type2,2367.93
FD950T,11.45,low,0.29,Breads,128.84,OUT94E,1999,Small,Tier 2,Grocery Store,671.11
FD737C,5.14,low,0.32,Soft Drinks,113.15,OUT51U,2008,Small,Tier 3,Supermarket Type2,1339.16
FD430Z,15.85,low,0.21,Dairy,238.67,OUT17V,1987,High,Tier 2,Grocery Store,811.77
FD345X,,low,0.36,Others,199.1,OUT61F,1985,Medium,Tier 1,Supermarket Type3,2392.77
FD762W,16.44,low,0.23,Baking Goods,90.67,OUT93J,1988,Medium,Tier 2,Supermarket Type3,2857.21
FD801M,14.98,regular,0.34,Meat,220.05,OUT26W,2006,High,Tier 2,Supermarket Type3,4114.42
FD497E,14.32,regular,0.02,Frozen Foods,43.97,OUT44K,2004,Medium,Tier 2,Supermarket Type1,1259.49
FD290B,18.14,low,0.28,Starchy Foods,193.31,OUT90B,1987,Medium,Tier 3,Supermarket Type3,2712.04
FD763R,11.16,regular,0.27,Snack Foods,178.06,OUT29F,2001,High,Tier 1,Supermarket Type3,3590.75
FD920E,11.12,NA,0.15,Household,246.92,OUT48J,1989,Medium,Tier 1,Supermarket Type3,1974.33
FD148J,6.18,low,0.06,Meat,158.58,OUT19C,2001,Medium,Tier 3,Supermarket Type3,2839.0
FD776U,21.29,regular,0.22,Frozen Foods,191.34,OUT82Q,1996,Small,Tier 2,Supermarket Type3,2250.81
FD777D,6.44,low,0.13,Soft Drinks,186.89,OUT32Y,1990,Small,Tier 3,Grocery Store,700.29
FD404U,20.18,low,0.38,Others,58.78,OUT85U,1999,Medium,Tier 3,Grocery Store,1039.92
FD289F,15.05,regular,0.09,Breakfast,124.53,OUT87Q,2006,Small,Tier 1,Supermarket Type2,1497.78
FD219A,7.97,regular,0.18,Frozen Foods,70.12,OUT31P,2000,Small,Tier 2,Grocery Store,607.62
FD932N,13.17,regular,0.24,Breakfast,79.42,OUT56S,2006,Medium,Tier 3,Supermarket Type3,2572.25
FD114M,12.92,regular,0.25,Others,95.91,OUT24B,2007,Small,Tier 1,Grocery Store,816.13
FD248P,18.01,low,0.17,Baking Goods,263.07,OUT40B,2005,Medium,Tier 3,Supermarket Type1,1235.19
FD585B,14.96,low,0.1,Baking Goods,180.45,OUT12H,1990,Medium,Tier 1,Supermarket Type2,2054.99
FD980C,13.15,regular,0.39,Dairy,161.56,OUT84P,1991,Medium,Tier 1,Supermarket Type3,3230.87
FD205O,13.86,regular,0.2,Meat,168.3,OUT65A,2000,Medium,Tier 1,Grocery Store,608.12
FD625L,16.98,low,0.15,Meat,154.57,OUT88R,2000,Medium,Tier 2,Supermarket Type3,2673.74
FD423J,7.99,NA,0.38,Health and Hygiene,119.7,OUT18R,2005,Medium,Tier 3,Grocery Store,944.97
FD761W,7.83,regular,0.34,Starchy Foods,54.85,OUT67S,1998,Medium,Tier 3,Grocery Store,929.36
FD580W,12.94,low,0.31,Fruits and Vegetables,84.49,OUT66O,2001,High,Tier 1,Supermarket Type2,2290.94
FD840T,14.12,NA,0.24,Health and Hygiene,184.81,OUT59A,2006,Small,Tier 2,Supermarket Type3,2323.62
FD389S,13.44,regular,0.12,Hard Drinks,258.49,OUT21Q,2000,High,Tier 1,Supermarket Type1,1734.15
FD603G,11.02,low,0.06,Dairy,62.29,OUT63F,1994,Small,Tier 3,Supermarket Type1,1080.4
FD367W,8.24,NA,0.3,Health and Hygiene,44.77,OUT96K,1990,Small,Tier 2,Grocery Store,826.84
FD732O,10.82,low,0.39,Snack Foods,226.27,OUT25J,1992,Medium,Tier 1,Supermarket Type2,2189.95
FD888J,16.05,regular,0.26,Seafood,142.31,OUT44J,2007,Medium,Tier 1,Supermarket Type2,1848.39
FD208Y,,low,0.17,Frozen Foods,114.5,OUT88N,1988,Medium,Tier 1,Supermarket Type3,2333.24
FD991N,5.21,low,0.29,Snack Foods,91.88,OUT56K,2008,High,Tier 1,Supermarket Type1,1479.34
FD257P,21.14,regular,0.33,Meat,30.5,OUT56V,1989,High,Tier 1,Supermarket Type3,2911.47
FD351Z,,low,0.37,Frozen Foods,261.54,OUT70V,1994,Medium,Tier 1,Supermarket Type3,3007.09
FD872A,5.22,low,0.32,Canned,245.4,OUT56O,2006,Medium,Tier 3,Supermarket Type2,1874.82
FD921B,19.28,NA,0.08,Health and Hygiene,175.64,OUT62A,1999,Small,Tier 1,Supermarket Type3,1755.82
FD834Z,11.86,low,0.12,Hard Drinks,267.01,OUT76E,1987,Small,Tier 1,Supermarket Type3,2241.96
FD162Z,10.42,regular,0.35,Breads,115.23,OUT14Q,2005,Small,Tier 2,Supermarket Type3,1888.8
FD797S,5.81,low,0.15,Dairy,128.29,OUT80T,2008,Medium,Tier 2,Supermarket Type2,1800.48
FD725J,17.22,regular,0.25,Breads,138.99,OUT99Z,1999,Medium,Tier 3,Grocery Store,617.22
FD894M,5.77,regular,0.16,Baking Goods,242.02,OUT48F,1986,High,Tier 2,Supermarket Type2,1777.17
FD390N,8.86,regular,0.11,Breads,159.47,OUT21G,2002,High,Tier 3,Supermarket Type1,1171.14
FD915I,5.87,regular,0.2,Meat,32.31,OUT85Q,1992,Small,Tier 1,Supermarket Type1,692.75
FD961X,6.71,regular,0.07,Meat,190.74,OUT43O,2001,High,Tier 1,Grocery Store,1320.77
FD559T,14.22,low,0.21,Hard Drinks,117.38,OUT83V,1985,High,Tier 1,Grocery Store,740.08
FD679T,11.43,regular,0.35,Breakfast,199.15,OUT90Q,2002,High,Tier 3,Supermarket Type1,1163.59
FD903T,20.65,NA,0.38,Health and Hygiene,86.06,OUT83R,1989,Medium,Tier 3,Supermarket Type2,2262.32
FD696M,21.26,low,0.17,Others,134.59,OUT56D,1988,Medium,Tier 3,Grocery Store,1005.8
FD163B,12.74,regular,0.28,Dairy,262.32,OUT26E,1991,,Tier 1,Supermarket Type3,1645.17
FD512L,10.58,low,0.37,Breakfast,253.24,OUT81H,2009,High,Tier 3,Supermarket Type2,2827.88
FD550S,16.63,regular,0.13,Others,90.46,OUT72U,1998,High,Tier 2,Supermarket Type3,3969.81
FD568I,17.83,low,0.06,Canned,269.74,OUT75H,1988,Medium,Tier 3,Supermarket Type1,996.63
FD260J,10.4,regular,0.05,Baking Goods,262.01,OUT57H,2004,Small,Tier 3,Supermarket Type3,2097.0
FD396C,16.76,low,0.1,Starchy Foods,176.6,OUT76J,1988,Medium,Tier 3,Grocery Store,978.95
FD597B,8.07,regular,0.14,Hard Drinks,164.35,OUT28J,2003,Medium,Tier 2,Supermarket Type2,2170.77
FD287V,14.28,low,0.09,Starchy Foods,230.4,OUT72A,1988,Medium,Tier 1,Supermarket Type2,2223.81
FD686T,9.65,low,0.14,Hard Drinks,245.26,OUT82C,1995,Medium,Tier 2,Grocery Store,1003.33
FD751D,10.56,regular,0.11,Others,59.71,OUT67Q,1999,Small,Tier 3,Supermarket Type1,729.89
FD738A,13.24,regular,0.09,Dairy,181.51,OUT59O,1997,High,Tier 3,Grocery Store,1039.19
FD761F,12.97,low,0.22,Breads,218.82,OUT31T,1985,High,Tier 2,Supermarket Type3,2949.51
FD654K,,low,0.36,Meat,268.56,OUT16K,2001,Small,Tier 3,Grocery Store,459.72
FD644L,6.49,regular,0.15,Baking Goods,133.41,OUT12R,1991,,Tier 3,Grocery Store,723.17
FD428Z,5.47,NA,0.04,Health and Hygiene,231.42,OUT85C,2000,High,Tier 3,Grocery Store,1013.46
FD124H,16.77,regular,0.4,Fruits and Vegetables,69.08,OUT50Y,1993,Small,Tier 2,Supermarket Type3,2106.02
FD392J,,NA,0.12,Household,182.54,OUT33Q,2009,High,Tier 1,Grocery Store,974.33
FD273D,7.26,NA,0.01,Household,220.52,OUT88U,1990,Medium,Tier 3,Supermarket Type2,1726.03
FD427J,10.47,low,0.02,Fruits and Vegetables,159.57,OUT62U,1993,Medium,Tier 1,Supermarket Type2,2315.54
FD870M,20.76,low,0.09,Others,82.16,OUT85P,2000,Small,Tier 1,Grocery Store,758.21
FD575J,8.29,low,0.25,Others,145.37,OUT62E,2000,Small,Tier 2,Supermarket Type2,1042.42
FD667L,21.35,regular,0.34,Fruits and Vegetables,175.27,OUT96G,1992,Small,Tier 2,Supermarket Type1,1237.69
FD966O,9.29,regular,0.21,Dairy,32.86,OUT74N,1989,Medium,Tier 1,Supermarket Type3,2364.63
FD668C,9.63,low,0.26,Hard Drinks,63.2,OUT15A,1999,High,Tier 2,Supermarket Type1,1627.13
FD379M,8.56,low,0.25,Meat,119.74,OUT42R,1997,Small,Tier 2,Grocery Store,633.24
FD856I,9.76,low,0.3,Hard Drinks,75.32,OUT82E,1994,Small,Tier 1,Supermarket Type2,1711.0
FD669R,10.61,NA,0.29,Household,36.31,OUT65N,2004,Small,Tier 3,Grocery Store,814.16
FD379P,15.2,regular,0.04,Breads,119.31,OUT94U,1995,High,Tier 2,Supermarket Type2,1979.89
FD236P,16.45,regular,0.32,Baking Goods,234.77,OUT10M,2000,Small,Tier 3,Supermarket Type2,1593.08
FD813T,7.97,low,0.1,Fruits and Vegetables,71.06,OUT72W,1997,Medium,Tier 3,Supermarket Type1,1343.79
FD788H,8.52,NA,0.09,Household,234.96,OUT55Y,2004,High,Tier 2,Grocery Store,1210.51
FD227D,11.45,regular,0.04,Hard Drinks,173.34,OUT57M,1999,High,Tier 1,Supermarket Type1,1384.24
FD826W,12.65,low,0.26,Fruits and Vegetables,67.57,OUT34F,2004,,Tier 3,Grocery Store,786.75
FD137R,18.57,low,0.07,Meat,131.17,OUT73T,2007,Medium,Tier 2,Supermarket Type1,1261.37
FD213R,,low,0.39,Baking Goods,61.38,OUT82G,2000,High,Tier 2,Supermarket Type1,1295.79
FD231V,7.03,low,0.16,Canned,128.54,OUT18I,1993,Small,Tier 3,Supermarket Type1,826.5
FD809R,4.85,NA,0.11,Health and Hygiene,190.62,OUT78N,1993,,Tier 1,Supermarket Type1,1123.37
FD765D,7.36,low,0.27,Breakfast,266.26,OUT51B,1998,High,Tier 3,Supermarket Type3,3606.58
FD629W,10.87,low,0.04,Soft Drinks,127.67,OUT15U,1992,Medium,Tier 2,Supermarket Type3,3133.0
FD423A,10.14,regular,0.19,Snack Foods,128.4,OUT60M,1995,,Tier 2,Supermarket Type3,2305.32
FD176P,14.11,NA,0.16,Household,210.75,OUT35K,1995,High,Tier 2,Supermarket Type1,1593.71
FD542Z,10.43,low,0.03,Meat,198.14,OUT13L,2005,Small,Tier 2,Grocery Store,532.36
FD344V,14.83,regular,0.12,Breads,129.35,OUT16V,2001,,Tier 2,Supermarket Type1,970.47
FD557L,18.68,NA,0.05,Health and Hygiene,227.79,OUT25F,1986,Small,Tier 3,Supermarket Type3,1832.3
FD901I,13.52,regular,0.02,Snack Foods,131.78,OUT17Z,1999,High,Tier 1,Supermarket Type2,2069.82
FD793D,8.76,regular,0.1,Snack Foods,130.82,OUT81D,1994,Small,Tier 1,Supermarket Type3,2412.0
FD338M,8.76,regular,0.35,Others,48.14,OUT94N,1985,High,Tier 2,Grocery Store,738.8
FD734G,16.99,regular,0.33,Breakfast,240.46,OUT53P,2006,Medium,Tier 3,Supermarket Type3,2943.25
FD210G,15.44,regular,0.3,Fruits and Vegetables,207.45,OUT11M,2007,High,Tier 1,Supermarket Type2,2604.67
FD362W,7.45,NA,0.17,Household,102.21,OUT63E,2008,High,Tier 3,Supermarket Type1,1281.71
FD161I,11.07,low,0.28,Breakfast,238.14,OUT49L,1998,Small,Tier 1,Supermarket Type1,872.87
FD416M,18.72,regular,0.27,Hard Drinks,153.5,OUT53S,1996,Small,Tier 2,Supermarket Type1,687.37
FD938J,12.28,low,0.33,Fruits and Vegetables,171.86,OUT16B,1996,Small,Tier 3,Grocery Store,705.64
FD293Q,7.02,low,0.37,Baking Goods,111.46,OUT70S,2007,Small,Tier 2,Supermarket Type1,1012.84
FD528V,12.33,regular,0.27,Breakfast,197.69,OUT30G,1999,High,Tier 2,Supermarket Type2,1917.89
FD328S,21.07,regular,0.14,Snack Foods,248.14,OUT39D,2004,Small,Tier 3,Supermarket Type1,990.12
FD926V,9.3,low,0.09,Baking Goods,37.3,OUT58N,1997,High,Tier 2,Supermarket Type3,2855.99
FD466B,6.4,low,0.39,Canned,193.82,OUT81H,1989,Small,Tier 1,Supermarket Type2,1783.41
FD883X,10.04,regular,0.23,Meat,106.96,OUT15B,1991,High,Tier 3,Supermarket Type1,1826.81
FD836L,11.63,regular,0.02,Baking Goods,209.6,OUT53J,1992,Small,Tier 2,Supermarket Type1,1131.0
FD203B,18.0,low,0.03,Canned,257.01,OUT96I,1997,Small,Tier 2,Grocery Store,644.58
FD345X,14.96,regular,0.38,Frozen Foods,130.36,OUT57Q,1990,Medium,Tier 2,Supermarket Type1,1266.71
FD913M,5.01,low,0.12,Starchy Foods,257.85,OUT34I,1997,Small,Tier 1,Grocery Store,629.99
FD147W,16.03,regular,0.28,Hard Drinks,52.7,OUT88L,1991,High,Tier 1,Supermarket Type3,3710.91
FD744Y,,low,0.12,Meat,75.1,OUT45I,2001,Small,Tier 1,Supermarket Type2,1257.04
FD729E,6.91,low,0.28,Seafood,132.53,OUT31G,1997,Medium,Tier 3,Grocery Store,707.17
FD829X,,regular,0.1,Hard Drinks,117.48,OUT77S,2000,Small,Tier 2,Supermarket Type3,1499.66
FD753Y,18.28,regular,0.15,Seafood,151.33,OUT84P,1986,High,Tier 2,Supermarket Type2,2098.13
FD505N,19.54,low,0.31,Baking Goods,117.72,OUT49B,1997,Medium,Tier 1,Supermarket Type1,1298.02
FD237W,7.64,regular,0.14,Canned,33.21,OUT20S,1999,High,Tier 1,Supermarket Type2,2653.85
FD736V,15.73,low,0.16,Hard Drinks,103.15,OUT64C,1999,Medium,Tier 3,Grocery Store,709.24
FD379Y,15.07,regular,0.05,Starchy Foods,93.39,OUT13L,1999,Medium,Tier 2,Supermarket Type2,1613.57
FD401G,15.69,NA,0.1,Health and Hygiene,127.57,OUT75I,2005,Medium,Tier 1,Grocery Store,671.86
FD173X,19.54,NA,0.04,Household,52.72,OUT14I,1991,Small,Tier 1,Supermarket Type1,842.46
FD863X,20.16,low,0.15,Breads,143.07,OUT97R,1991,Medium,Tier 2,Supermarket Type2,1722.5
FD942W,,regular,0.22,Dairy,268.33,OUT61Z,2003,Medium,Tier 2,Grocery Store,742.58
FD332U,19.6,regular,0.2,Fruits and Vegetables,215.62,OUT36E,1992,Medium,Tier 1,Supermarket Type1,1109.68
FD966M,10.42,regular,0.17,Breakfast,203.43,OUT64X,2007,Small,Tier 2,Supermarket Type2,1259.74
FD130X,,low,0.26,Starchy Foods,131.6,OUT27K,1989,Medium,Tier 3,Supermarket Type3,2332.71
FD447O,19.78,low,0.09,Meat,141.19,OUT63B,2006,High,Tier 2,Supermarket Type3,2855.57
FD681Y,8.04,regular,0.14,Others,42.0,OUT14I,1989,High,Tier 1,Supermarket Type2,1788.03
FD165I,16.11,regular,0.14,Breads,223.32,OUT59M,2000,Small,Tier 2,Supermarket Type3,1461.92
FD195K,4.64,regular,0.04,Frozen Foods,55.57,OUT23R,2002,High,Tier 2,Supermarket Type3,3416.83
FD303E,15.12,low,0.14,Canned,223.21,OUT59S,1991,Small,Tier 1,Supermarket Type3,2067.86
FD477H,6.92,NA,0.27,Health and Hygiene,212.95,OUT11K,1995,Medium,Tier 1,Grocery Store,917.35
FD649A,9.89,regular,0.12,Starchy Foods,184.33,OUT71V,1987,Small,Tier 1,Supermarket Type1,906.44
FD542T,18.44,low,0.26,Others,76.82,OUT95E,1990,Small,Tier 2,Supermarket Type1,1133.86
FD107J,9.77,low,0.02,Meat,230.24,OUT67E,1997,Medium,Tier 1,Supermarket Type3,2444.75
FD689C,6.99,NA,0.22,Health and Hygiene,217.72,OUT21S,2005,Medium,Tier 2,Supermarket Type3,2110.31
FD943Z,6.94,regular,0.23,Breakfast,76.63,OUT32A,1992,Medium,Tier 3,Supermarket Type2,1322.46
FD287S,11.32,regular,0.38,Canned,147.6,OUT82G,1997,Medium,Tier 3,Supermarket Type3,2693.88
FD650S,6.14,low,0.22,Snack Foods,194.11,OUT95E,2007,Medium,Tier 3,Supermarket Type1,1180.79
FD477E,10.24,regular,0.15,Baking Goods,125.65,OUT23G,2009,High,Tier 1,Supermarket Type3,4133.51
FD312G,6.64,regular,0.25,Breads,62.28,OUT15D,1985,Small,Tier 2,Supermarket Type3,1862.99
FD508M,11.47,NA,0.38,Household,139.36,OUT60C,1985,Medium,Tier 3,Supermarket Type3,2935.63
FD866D,6.42,low,0.37,Soft Drinks,146.93,OUT72D,1987,Medium,Tier 3,Supermarket Type1,1447.28
FD940R,18.3,NA,0.04,Household,60.66,OUT30K,1985,Small,Tier 2,Supermarket Type3,2282.48
FD859Z,6.62,low,0.21,Frozen Foods,63.94,OUT31E,2006,Small,Tier 3,Supermarket Type2,1793.51
FD282N,13.68,regular,0.14,Fruits and Vegetables,157.92,OUT14R,2002,Medium,Tier 2,Supermarket Type1,1426.28
FD756Q,11.66,regular,0.29,Baking Goods,151.51,OUT94G,1997,High,Tier 3,Grocery Store,945.09
FD149X,4.9,regular,0.29,Meat,66.46,OUT58X,1991,High,Tier 1,Grocery Store,883.85
FD116A,14.17,NA,0.08,Health and Hygiene,86.49,OUT13A,1995,,Tier 1,Supermarket Type1,1133.44
FD271U,15.31,low,0.23,Baking Goods,225.02,OUT31C,1998,Small,Tier 3,Supermarket Type1,1049.23
FD294N,11.51,regular,0.14,Frozen Foods,112.57,OUT36I,1997,High,Tier 3,Supermarket Type2,2125.67
FD465U,5.15,low,0.34,Starchy Foods,81.84,OUT32A,1997,Small,Tier 1,Supermarket Type1,877.79
FD325E,14.95,low,0.15,Breads,210.13,OUT94R,2005,Small,Tier 2,Supermarket Type3,2172.02
FD408X,10.27,low,0.12,Hard Drinks,176.9,OUT86F,1988,Small,Tier 2,Grocery Store,496.71
FD746S,7.01,regular,0.34,Canned,63.09,OUT59R,2009,High,Tier 2,Grocery Store,840.79
FD425Q,7.09,regular,0.17,Dairy,141.26,OUT71E,1995,High,Tier 3,Supermarket Type1,1266.66
FD859O,13.17,regular,0.37,Fruits and Vegetables,262.42,OUT74L,2007,High,Tier 3,Supermarket Type3,2850.86
FD416P,20.03,low,0.01,Fruits and Vegetables,194.97,OUT64W,1992,,Tier 1,Grocery Store,1153.26
FD403M,21.07,NA,0.33,Household,153.61,OUT29Y,1991,Medium,Tier 2,Supermarket Type1,930.76
FD237R,5.24,low,0.16,Snack Foods,149.91,OUT50P,2009,High,Tier 2,Supermarket Type3,3234.58
FD967U,5.3,regular,0.33,Snack Foods,219.57,OUT52V,1992,Small,Tier 1,Supermarket Type2,1601.75
FD836O,7.29,low,0.03,Baking Goods,99.29,OUT87Y,2001,High,Tier 3,Supermarket Type1,1122.28
FD166F,19.12,low,0.24,Breads,140.5,OUT18M,1986,,Tier 1,Supermarket Type3,3042.78
FD706J,17.64,low,0.08,Dairy,269.86,OUT36P,2001,Small,Tier 1,Supermarket Type1,913.39
FD838M,17.83,NA,0.18,Household,153.86,OUT41B,1990,Medium,Tier 1,Supermarket Type3,2130.2
FD750M,11.72,NA,0.31,Health and Hygiene,93.33,OUT44Y,2000,High,Tier 2,Supermarket Type2,2482.84
FD582C,15.93,NA,0.1,Household,151.4,OUT64G,2004,Medium,Tier 1,Supermarket Type3,2668.23
FD537F,19.13,low,0.23,Starchy Foods,56.74,OUT48M,2002,Small,Tier 2,Supermarket Type3,2224.57
FD413D,17.52,low,0.32,Dairy,249.94,OUT46Y,2002,Medium,Tier 2,Supermarket Type2,1290.47
FD580M,7.86,low,0.21,Seafood,107.35,OUT29M,1985,Small,Tier 3,Supermarket Type2,1160.97
FD504V,19.04,regular,0.15,Fruits and Vegetables,253.86,OUT57Y,2000,Medium,Tier 2,Supermarket Type3,2834.25
FD494K,18.7,low,0.29,Meat,255.71,OUT30M,2009,Small,Tier 1,Supermarket Type3,2164.73
FD600O,8.49,regular,0.26,Starchy Foods,267.4,OUT98X,2007,High,Tier 3,Supermarket Type2,2766.83
FD348E,14.18,regular,0.18,Snack Foods,167.56,OUT14X,2005,High,Tier 1,Supermarket Type3,3411.74
FD797J,13.71,low,0.27,Fruits and Vegetables,263.75,OUT42P,2004,High,Tier 2,Supermarket Type2,2077.55
FD828Y,17.95,low,0.19,Canned,69.72,OUT60T,2003,Small,Tier 3,Grocery Store,575.06
FD358S,17.74,NA,0.37,Household,81.67,OUT48G,2002,Small,Tier 2,Supermarket Type3,2413.38
FD211O,15.92,regular,0.06,Others,40.33,OUT83X,1996,High,Tier 1,Supermarket Type3,3529.39
FD815T,11.08,regular,0.16,Dairy,78.65,OUT10K,2000,High,Tier 2,Supermarket Type1,1521.73
FD637A,19.14,low,0.28,Fruits and Vegetables,66.12,OUT93S,2008,High,Tier 2,Grocery Store,782.77
FD820I,7.02,low,0.07,Starchy Foods,80.87,OUT35F,1990,Medium,Tier 1,Supermarket Type1,1005.12
FD160V,19.88,regular,0.15,Frozen Foods,68.6,OUT33Z,2009,Small,Tier 1,Supermarket Type1,973.05
FD739G,14.85,regular,0.27,Baking Goods,44.95,OUT91K,1987,Medium,Tier 3,Supermarket Type3,1809.92
FD165V,4.67,low,0.02,Meat,151.31,OUT13L,1992,Small,Tier 2,Supermarket Type3,1549.47
FD372W,12.15,regular,0.18,Seafood,87.04,OUT10Q,2003,Small,Tier 1,Grocery Store,686.85
FD484M,9.16,low,0.03,Snack Foods,36.76,OUT76W,1993,High,Tier 1,Supermarket Type1,1448.05
FD444X,6.88,regular,0.2,Seafood,118.29,OUT97V,1995,High,Tier 2,Supermarket Type2,2050.65
FD158W,18.47,NA,0.18,Health and Hygiene,95.77,OUT52Z,1988,,Tier 3,Supermarket Type3,1785.27
FD126M,10.02,regular,0.09,Fruits and Vegetables,44.14,OUT25H,1993,High,Tier 1,Supermarket Type3,3938.75
FD774E,15.21,NA,0.08,Health and Hygiene,151.34,OUT75A,2006,High,Tier 3,Supermarket Type3,4049.23
FD468C,13.41,low,0.36,Baking Goods,183.98,OUT51R,1999,Small,Tier 3,Supermarket Type2,1195.13
FD913F,18.16,NA,0.03,Health and Hygiene,174.94,OUT54B,2000,High,Tier 3,Supermarket Type3,2580.39
FD829J,6.82,regular,0.39,Frozen Foods,252.12,OUT76K,2007,High,Tier 1,Supermarket Type2,2440.84
FD952R,17.09,low,0.04,Snack Foods,30.45,OUT80D,1990,Small,Tier 2,Supermarket Type3,1421.12
FD346P,17.44,low,0.14,Breakfast,268.39,OUT37K,2009,High,Tier 3,Supermarket Type3,2402.81
FD264U,15.93,NA,0.4,Household,138.03,OUT59X,1993,High,Tier 1,Supermarket Type3,2459.58
FD781I,7.75,NA,0.27,Health and Hygiene,115.59,OUT78O,2008,High,Tier 1,Supermarket Type3,3558.84
FD884M,5.78,low,0.29,Seafood,50.51,OUT18P,1995,Small,Tier 3,Supermarket Type2,1087.64
FD365H,9.64,regular,0.17,Others,250.7,OUT47F,1988,Small,Tier 1,Supermarket Type3,2496.43
FD686X,15.63,NA,0.33,Household,246.36,OUT26U,1997,,Tier 1,Supermarket Type1,1927.61
FD294Y,8.64,regular,0.36,Fruits and Vegetables,163.27,OUT64U,2009,High,Tier 3,Grocery Store,1077.29
FD109I,,low,0.37,Hard Drinks,158.01,OUT68U,1989,Small,Tier 2,Supermarket Type1,725.69
FD250M,17.0,low,0.22,Meat,34.51,OUT46J,2008,High,Tier 2,Supermarket Type3,3698.59
FD226R,8.65,regular,0.4,Snack Foods,50.43,OUT83E,2005,High,Tier 3,Supermarket Type2,1854.82
FD160Z,7.57,regular,0.22,Baking Goods,178.45,OUT52J,2007,High,Tier 2,Supermarket Type2,3007.19
FD844Z,18.42,low,0.18,Baking Goods,222.87,OUT48Q,1990,,Tier 2,Grocery Store,484.89
FD584W,11.33,regular,0.16,Fruits and Vegetables,234.9,OUT60Z,1987,Medium,Tier 3,Supermarket Type2,1319.35
FD503G,5.8,regular,0.11,Meat,169.52,OUT26U,2009,High,Tier 3,Supermarket Type1,1135.64
FD691I,14.42,regular,0.02,Snack Foods,113.63,OUT66S,2000,High,Tier 1,Supermarket Type3,3243.1
FD300V,21.01,low,0.17,Meat,191.64,OUT93A,1996,Small,Tier 3,Supermarket Type1,837.83
FD961K,7.77,low,0.24,Frozen Foods,190.73,OUT17G,1996,Medium,Tier 3,Supermarket Type3,2469.96
FD765V,11.97,low,0.07,Seafood,84.91,OUT85B,1989,Small,Tier 3,Grocery Store,626.42
FD506F,14.26,low,0.07,Others,257.99,OUT48S,2004,Small,Tier 1,Grocery Store,522.34
FD491R,21.02,regular,0.07,Canned,172.99,OUT90P,1999,Medium,Tier 3,Grocery Store,732.63
FD224F,12.85,low,0.2,Hard Drinks,214.96,OUT92Q,2001,Small,Tier 1,Grocery Store,588.78
FD863G,20.17,NA,0.04,Health and Hygiene,249.94,OUT85L,1997,Medium,Tier 3,Supermarket Type3,2124.71
FD201U,4.97,regular,0.02,Seafood,202.34,OUT18T,2002,High,Tier 1,Supermarket Type2,2399.48
FD937I,12.64,regular,0.11,Canned,35.32,OUT77F,1987,Medium,Tier 3,Grocery Store,768.72
FD811L,18.28,low,0.08,Frozen Foods,230.94,OUT10J,1999,Small,Tier 3,Grocery Store,725.48
FD311P,6.65,low,0.14,Breads,171.99,OUT30F,2002,Small,Tier 3,Grocery Store,640.4
FD405X,8.3,low,0.18,Soft Drinks,87.28,OUT79K,1998,Small,Tier 3,Grocery Store,537.9
FD901S,21.08,low,0.07,Fruits and Vegetables,95.85,OUT94I,1999,Small,Tier 3,Supermarket Type2,1473.59
FD720I,15.7,regular,0.35,Dairy,83.8,OUT75N,2007,High,Tier 2,Supermarket Type2,2825.55
FD245T,9.49,low,0.29,Frozen Foods,74.98,OUT37I,2004,Small,Tier 1,Supermarket Type1,678.46
